0.00	336.74	56.67	0.44399	336.55	56.67	0.43390	20.532	1523.68
0.00	336.88	56.73	0.44448	336.69	56.73	0.43404	39.329	1523.68
0.00	337.03	56.80	0.44511	336.83	56.79	0.43393	37.927	1523.68
0.00	337.09	56.83	0.44578	336.91	56.82	0.43442	40.842	1523.68
0.00	337.24	56.90	0.44655	337.05	56.89	0.43620	39.026	1523.68
0.00	337.38	56.96	0.44710	337.18	56.95	0.43719	36.506	1523.68
0.00	337.52	57.03	0.44786	337.33	57.02	0.43772	41.495	1523.68
0.00	337.67	57.10	0.44953	337.47	57.09	0.43958	40.374	1523.68
0.00	337.73	57.13	0.45089	337.55	57.13	0.44106	35.263	1523.68
0.00	337.87	57.19	0.45137	337.69	57.20	0.44230	37.121	1523.68
0.00	338.01	57.26	0.45146	337.83	57.26	0.44302	41.975	1523.68
0.00	338.08	57.30	0.45292	337.91	57.31	0.44502	26.281	1523.68
0.00	338.24	57.37	0.45455	338.05	57.37	0.44696	40.880	1523.68
0.00	338.38	57.44	0.45535	338.19	57.44	0.44811	32.936	1523.68
0.00	338.52	57.51	0.45579	338.33	57.52	0.45071	32.194	1523.68
0.00	338.59	57.54	0.45708	338.40	57.56	0.45214	23.965	1523.68
0.00	338.73	57.61	0.45794	338.54	57.63	0.45356	42.252	1523.68
0.00	338.87	57.68	0.45960	338.68	57.70	0.45537	37.030	1523.68
0.00	339.01	57.75	0.46134	338.84	57.78	0.45740	41.556	1523.68
0.00	339.08	57.78	0.46242	338.90	57.81	0.45844	39.209	1523.68
0.00	339.22	57.85	0.46338	339.04	57.88	0.46020	37.278	1523.68
0.00	339.38	57.93	0.46432	339.17	57.95	0.46109	43.644	1523.68
0.00	339.51	57.99	0.46482	339.31	58.02	0.46252	38.280	1523.68
0.00	339.66	58.06	0.46515	339.45	58.09	0.46325	38.839	1523.68
0.00	339.73	58.10	0.46556	339.51	58.12	0.46341	39.795	1523.68
0.00	339.88	58.17	0.46596	339.64	58.19	0.46417	41.116	1523.68
0.00	340.01	58.24	0.46611	339.78	58.26	0.46485	29.178	1523.68
0.00	340.15	58.31	0.46550	339.92	58.33	0.46470	19.499	1523.68
0.00	340.22	58.35	0.46473	339.98	58.36	0.46356	39.981	1523.68
0.00	340.37	58.42	0.46413	340.12	58.43	0.46366	42.880	1523.68
0.00	340.44	58.45	0.46358	340.19	58.47	0.46381	25.268	1523.68
0.00	340.59	58.53	0.46259	340.34	58.55	0.46332	39.394	1523.68
0.00	340.72	58.59	0.46152	340.48	58.62	0.46257	37.878	1523.68
0.00	340.87	58.66	0.46047	340.62	58.69	0.46132	38.871	1523.68
0.00	341.01	58.73	0.45982	340.76	58.76	0.46050	35.630	1523.68
0.00	341.08	58.77	0.45879	340.84	58.80	0.45945	36.916	1523.68
0.00	341.22	58.84	0.45707	340.97	58.86	0.45793	35.820	1523.68
0.00	341.36	58.91	0.45554	341.12	58.93	0.45629	36.809	1523.68
0.00	341.50	58.98	0.45461	341.25	59.00	0.45560	38.289	1523.68
0.00	341.64	59.04	0.45342	341.39	59.07	0.45424	35.293	1523.68
0.00	341.71	59.07	0.45225	341.47	59.11	0.45292	35.094	1523.68
0.00	341.84	59.14	0.45164	341.61	59.17	0.45208	37.470	1523.68
0.00	342.00	59.22	0.45107	341.76	59.24	0.45174	36.323	1523.68
0.00	342.13	59.28	0.45001	341.89	59.31	0.45056	36.232	1523.68
0.00	342.21	59.31	0.44841	341.96	59.35	0.44963	17.240	1523.68
0.00	342.35	59.38	0.44686	342.10	59.41	0.44781	39.881	1523.68
0.00	342.42	59.42	0.44568	342.17	59.44	0.44692	31.030	1523.68
0.00	342.56	59.48	0.44401	342.32	59.52	0.44560	39.334	1523.68
